Company,FiscalYear,FiscalYearAD,y_true_delta,y_pred_mean,y_pred_variance,y_pred_std
NMB,2079/2080,2022/2023,0.5499999999999998,0.5120491722404878,0.09476515841331351,0.3078395010607208
NMB,2080/2081,2023/2024,0.4500000000000002,0.5936185932278497,0.0632143363200568,0.25142461359233864
NMB,2081/2082,2024/2025,0.8599999999999999,-0.0010125193630414753,0.19210890900581873,0.4383023032175609
PCBL,2074/2075,2017/2018,0.26,0.4839290030362091,0.07234532038594985,0.26897085415700683
PCBL,2075/2076,2018/2019,0.62,0.21183479736244837,0.03547614679771424,0.18835112635106338
PCBL,2076/2077,2019/2020,-0.3500000000000001,0.1831889104930174,0.03470945881845395,0.18630474717100998
PCBL,2077/2078,2020/2021,0.2099999999999999,-0.16856296197384874,0.05140206486700873,0.22672023479832745
PCBL,2078/2079,2021/2022,2.8300000000000005,0.47351196473638685,0.03970952837594934,0.1992724977912139
PCBL,2079/2080,2022/2023,0.4399999999999995,0.799167488080064,0.1437649231155149,0.3791634517137891
PCBL,2080/2081,2023/2024,0.8899999999999997,0.4997656171921676,0.06601054652177316,0.2569251768935329
PCBL,2081/2082,2024/2025,0.3000000000000007,0.38335749001572517,0.2228269448737058,0.472045490258837
SANIMA,2074/2075,2017/2018,0.05,0.5643373284523051,0.09638908696333541,0.3104659191655912
SANIMA,2075/2076,2018/2019,0.3999999999999999,0.16714313886591387,0.06534273054306808,0.255622241878652
SANIMA,2076/2077,2019/2020,-0.3199999999999999,0.17446160990073611,0.03560875965853543,0.1887028342620625
SANIMA,2077/2078,2020/2021,0.1899999999999999,0.09612435792051865,0.07632218969078533,0.2762647094559588
SANIMA,2078/2079,2021/2022,0.95,0.26410914644252065,0.045941566782085004,0.21433983946547364
SANIMA,2079/2080,2022/2023,0.4299999999999999,0.09839522375518242,0.0495556773547556,0.2226110449972229
SANIMA,2080/2081,2023/2024,-0.52,0.2521456820896736,0.036147765865409236,0.1901256580932969
SANIMA,2081/2082,2024/2025,0.3700000000000001,-0.016787188786392737,0.06547801780106484,0.2558867284582474
SCB,2074/2075,2017/2018,-0.03,0.2135558035456021,0.09014479937701146,0.3002412353042324
SCB,2075/2076,2018/2019,0.29,0.0038634072935461172,0.04294780892561504,0.20723853146945198
SCB,2076/2077,2019/2020,0.52,0.30402344186918356,0.08467473626354059,0.290989237367193
SCB,2077/2078,2020/2021,-0.37,0.30977202551407745,0.0939704942383588,0.30654607196693745
SCB,2078/2079,2021/2022,0.58,0.11088171223687932,0.07622143515319779,0.27608229779034693
SCB,2079/2080,2022/2023,0.9700000000000002,0.017189662865365662,0.03327651090175274,0.18241850482270908
SCB,2080/2081,2023/2024,-0.6700000000000002,0.11036767023551752,0.06343049418429994,0.2518541128993131
SCB,2081/2082,2024/2025,0.24,-0.053142193673285654,0.16014573503543478,0.40018212733133746
