Company,FiscalYear,shap_CAR,shap_NPL_Ratio,shap_CD_Ratio,shap_Cost_of_Funds,shap_Base_Rate,shap_Interest_Spread,shap_ROE_derived,base_value,predicted_proba,true_label
NICA,2074/2075,-0.02103891223669052,0.019121332094073296,-0.43594497442245483,0.07481635361909866,0.4425278604030609,-0.12259592860937119,0.01578892022371292,0.020909003913402557,0.4983959496021271,0
NICA,2075/2076,-0.03473559767007828,0.005783573724329472,-0.8425073623657227,-0.023667994886636734,0.16705697774887085,-0.08441253751516342,-0.07631517946720123,0.04855376109480858,0.3014833331108093,0
NICA,2076/2077,-0.06157577782869339,-0.11199155449867249,-0.5502030253410339,-0.09438739717006683,-0.37364909052848816,-0.016213038936257362,-0.044597674161195755,0.03393999859690666,0.2281692624092102,0
NICA,2077/2078,-0.3111422657966614,-0.0287624578922987,-0.8937265276908875,-0.23860667645931244,-0.3664901852607727,-0.044333625584840775,-0.2593209445476532,0.0735318660736084,0.11216145008802414,0
NICA,2078/2079,-0.21516522765159607,-0.3664438724517822,0.6215165257453918,0.2653449773788452,-0.04013129323720932,-0.2363826483488083,0.01621801033616066,0.14961393177509308,0.5484897494316101,0
NICA,2079/2080,-0.22707714140415192,0.3612070679664612,-0.031203188002109528,0.11296507716178894,0.7406570911407471,0.4154362082481384,-0.661604642868042,0.2186904400587082,0.7168867588043213,1
NICA,2080/2081,0.05938739329576492,0.07456108182668686,-0.7562040686607361,0.03824664652347565,-0.035456184297800064,0.7521665692329407,0.04424335062503815,0.11822327226400375,0.5732609033584595,0
NICA,2081/2082,-0.25457796454429626,0.014640389010310173,-1.0247104167938232,-0.1656639128923416,-0.4664277732372284,0.00793810561299324,-0.22406290471553802,0.09626290202140808,0.1174708679318428,1
NMB,2074/2075,0.09824103116989136,0.023531323298811913,-0.4117948114871979,0.07130640000104904,0.460673063993454,-0.22226446866989136,0.01375802606344223,0.020909003913402557,0.5135865211486816,0
NMB,2075/2076,0.0008566234027966857,0.005783573724329472,-0.9265806674957275,-0.03203413262963295,0.16852253675460815,0.09031514078378677,-0.027054661884903908,0.04855376109480858,0.33813023567199707,1
NMB,2076/2077,0.02890610694885254,0.1555994153022766,-0.4751929044723511,0.10504825413227081,0.23404856026172638,0.06569886952638626,0.0027999875601381063,0.03393999859690666,0.5376406908035278,0
NMB,2077/2078,0.4780130684375763,0.0777089074254036,-0.788654625415802,-0.21618837118148804,-0.7015390396118164,-0.1121864765882492,-0.12779685854911804,0.0735318660736084,0.21129928529262543,0
NMB,2078/2079,-0.177293062210083,-0.16442641615867615,0.520034670829773,-0.7304494380950928,-0.04935368150472641,-0.10155335813760757,-0.03642326593399048,0.14961393177509308,0.3566691279411316,1
NMB,2079/2080,0.0859372615814209,-0.2561053931713104,0.00857926532626152,0.0292410496622324,0.49884018301963806,0.4706895053386688,-0.14758829772472382,0.2186904400587082,0.7126488089561462,1
NMB,2080/2081,-0.17171861231327057,-0.07701869308948517,1.4481008052825928,0.12959697842597961,-0.20927561819553375,0.6636913418769836,-0.01971663534641266,0.11822327226400375,0.8678272366523743,0
NMB,2081/2082,-0.019925639033317566,-0.17586369812488556,0.9476078748703003,-0.15483073890209198,-0.37858882546424866,0.026661816984415054,-0.12990114092826843,0.09626290202140808,0.5526596307754517,1
PCBL,2074/2075,-0.02103891223669052,0.03768906369805336,-0.43475449085235596,0.07786531746387482,0.460673063993454,0.11943650245666504,0.01578892022371292,0.020909003913402557,0.5687046647071838,0
PCBL,2075/2076,-0.027714034542441368,0.005783573724329472,-0.9198495745658875,-0.03092438168823719,0.16705697774887085,0.05829998850822449,-0.07631517946720123,0.04855376109480858,0.3153750002384186,1
PCBL,2076/2077,-0.037507012486457825,0.058756668120622635,-0.5055673122406006,0.10504825413227081,0.23404856026172638,0.06569886952638626,0.0027999875601381063,0.03393999859690666,0.48930615186691284,0
PCBL,2077/2078,0.44900426268577576,0.07901541888713837,-0.7276096343994141,-0.1952698826789856,-0.36769741773605347,0.13352027535438538,-0.24145758152008057,0.0735318660736084,0.31067556142807007,0
PCBL,2078/2079,-0.26108258962631226,-0.17982524633407593,0.532902181148529,0.10202385485172272,0.7397236227989197,-0.09985320270061493,0.03450195491313934,0.14961393177509308,0.7345836758613586,1
PCBL,2079/2080,0.1309106945991516,-0.16829480230808258,1.8415855169296265,0.035019680857658386,0.01652297005057335,0.4063066840171814,0.1109488308429718,0.2186904400587082,0.9303249716758728,0
PCBL,2080/2081,0.055013686418533325,-0.17764133214950562,1.4996914863586426,0.04308401048183441,-0.23831982910633087,0.5333967208862305,0.10842922329902649,0.11822327226400375,0.87455815076828,1
PCBL,2081/2082,-0.0027318736538290977,-0.17093053460121155,0.9476078748703003,-0.17319515347480774,-0.4671788513660431,0.026661816984415054,-0.046962328255176544,0.09626290202140808,0.5521926283836365,0
SANIMA,2074/2075,-0.07076413929462433,0.019121332094073296,-0.43594497442245483,0.06928057223558426,0.4425278604030609,-0.12259592860937119,0.01578892022371292,0.020909003913402557,0.48458555340766907,0
SANIMA,2075/2076,-0.03473559767007828,0.00945389736443758,-0.9200844168663025,-0.023667994886636734,0.16705697774887085,0.05462966859340668,-0.07631517946720123,0.04855376109480858,0.3153750002384186,0
SANIMA,2076/2077,-0.044423289597034454,-0.11889459937810898,-0.5962368249893188,-0.07768312096595764,0.25000280141830444,-0.0706886574625969,-0.006080792285501957,0.03393999859690666,0.3474959135055542,0
SANIMA,2077/2078,-0.18213269114494324,-0.033087484538555145,-0.48873037099838257,0.017523815855383873,-0.33801811933517456,-0.1100168228149414,-0.3007119297981262,0.0735318660736084,0.20397362112998962,0
SANIMA,2078/2079,-0.14004363119602203,-0.34342947602272034,0.573586642742157,0.30126455426216125,0.6078344583511353,0.21322432160377502,0.02885296754539013,0.14961393177509308,0.8007364273071289,1
SANIMA,2079/2080,-0.09338569641113281,-0.12968870997428894,-0.5351452231407166,0.20124667882919312,0.5984272360801697,0.4520677328109741,0.21933691203594208,0.2186904400587082,0.7173895239830017,0
SANIMA,2080/2081,-0.19297686219215393,0.04234904795885086,-0.5979995131492615,-0.17302082479000092,-0.3723798394203186,0.7296516299247742,0.018652062863111496,0.11822327226400375,0.39472323656082153,0
SANIMA,2081/2082,-0.2707032263278961,0.0370829775929451,-0.24732525646686554,-0.14205244183540344,-0.32808569073677063,0.056541603058576584,-0.12515488266944885,0.09626290202140808,0.2842586934566498,0
SCB,2074/2075,0.02997378446161747,0.021548178046941757,-0.4718173146247864,0.038055744022130966,-0.41587841510772705,-0.1071755662560463,-0.0024908119812607765,0.020909003913402557,0.2917550802230835,0
SCB,2075/2076,0.07005231082439423,0.00945389736443758,-0.6539034843444824,-0.05210353806614876,-0.37623658776283264,-0.09974530339241028,-0.10157524049282074,0.04855376109480858,0.23948517441749573,0
SCB,2076/2077,0.024848077446222305,-0.11797258257865906,-0.5589366555213928,-0.0751202255487442,-0.3482660949230194,-0.08167862892150879,-0.02826552838087082,0.03393999859690666,0.24022403359413147,1
SCB,2077/2078,0.36502230167388916,0.04157259315252304,-0.5706217885017395,-0.042922236025333405,-0.18185724318027496,0.1385061889886856,0.25344035029411316,0.0735318660736084,0.5191586017608643,0
SCB,2078/2079,0.007746529765427113,-0.2793560028076172,0.5454217791557312,-0.5297594666481018,-0.3906913697719574,-0.09250179678201675,0.13318242132663727,0.14961393177509308,0.3878535330295563,1
SCB,2079/2080,-0.15064100921154022,-0.29090437293052673,-1.5878900289535522,-0.2484574168920517,-0.4507145881652832,0.3248026967048645,-0.588271975517273,0.2186904400587082,0.05877941474318504,1
SCB,2080/2081,0.18637344241142273,0.10717853158712387,-0.8147721290588379,-0.08704095333814621,-0.14138782024383545,0.727057695388794,-0.4073566198348999,0.11822327226400375,0.42269381880760193,0
SCB,2081/2082,0.37120190262794495,0.029849056154489517,-0.7120550870895386,-0.021620888262987137,-0.1670307219028473,0.031325146555900574,-0.02699454501271248,0.09626290202140808,0.40153762698173523,0
