Company,FiscalYear,FiscalYearAD,CAR,NPL_Ratio,CD_Ratio,Cost_of_Funds,Base_Rate,Interest_Spread,ROE_derived,Loan_Growth_YoY,NPL_Ratio_lag1,CAR_lag1,CD_Ratio_lag1,Delta_NPL_lag1,Delta_CAR_lag1,NPL_dev,CAR_dev,ROE_dev,NPL_next_year,Delta_NPL_next_year,Deteriorate_next_year
GBIME,2079/2080,2022/2023,13.37,3.08,83.47,8.18,10.2,4.96,12.360453684887368,37.84660131694274,1.22,12.72,89.21,1.86,0.6499999999999986,0.48,0.005000000000000782,-0.29877312619055374,4.37,1.29,1
GBIME,2080/2081,2023/2024,12.53,4.37,75.87,6.21,8.09,3.99,9.864605584334674,3.6654147774924826,3.08,13.37,83.47,1.29,-0.8399999999999999,1.0150000000000001,-0.040000000000000924,-0.7488568774653235,4.87,0.5,0
GBIME,2081/2082,2024/2025,13.39,4.87,76.07,4.3,5.76,3.63,9.164320253176635,11.458338419612268,4.37,12.53,75.87,0.5,0.8600000000000012,2.305,0.245000000000001,-1.7318820644329946,4.98,0.11000000000000032,0
GBIME,2082/2083,2025/2026,12.98,4.98,73.34,3.92,5.4,3.48,2.716622561128615,2.2973461513610482,4.87,13.39,76.07,0.11000000000000032,-0.41000000000000014,0.5700000000000003,0.21499999999999986,0.009522328057598006,,,
HBL,2072/2073,2015/2016,,,,,,,21.585686406568733,,,,,,,,,3.203938329753086,,,
HBL,2073/2074,2016/2017,,,,,,,17.14749292798152,,,,,,,,,3.406408508131065,0.98,,
HBL,2074/2075,2017/2018,13.03,0.98,77.02,6.42,9.66,4.0,16.92941057103895,,,,,,,0.375,-0.07500000000000107,0.9035557672230325,1.12,0.14000000000000012,0
HBL,2075/2076,2018/2019,12.73,1.12,75.59,6.55,9.05,4.47,17.701731429840322,,0.98,13.03,77.02,0.14000000000000012,-0.29999999999999893,0.4750000000000001,-0.5649999999999995,0.355400714603995,1.01,-0.1100000000000001,0
HBL,2076/2077,2019/2020,14.67,1.01,66.85,6.18,8.38,3.77,14.491566352466906,9.515576072785608,1.12,12.73,75.59,-0.1100000000000001,1.9399999999999995,0.020000000000000018,1.3100000000000005,1.241377546158807,0.48,-0.53,0
HBL,2077/2078,2020/2021,13.85,0.48,76.77,4.61,6.75,3.32,14.929892933885656,23.97995740505948,1.01,14.67,66.85,-0.53,-0.8200000000000003,-0.39,0.15499999999999936,1.8602936728028414,0.77,0.29000000000000004,0
HBL,2078/2079,2021/2022,11.63,0.77,88.8,8.0,9.88,4.0,11.225202172977372,17.427762228494778,0.48,13.85,76.77,0.29000000000000004,-2.219999999999999,-0.22499999999999998,-1.8449999999999989,-1.723619099097263,4.57,3.8000000000000003,1
HBL,2079/2080,2022/2023,13.23,4.57,84.7,8.61,10.86,4.79,9.108102322533863,55.497425756969434,0.77,11.63,88.8,3.8000000000000003,1.5999999999999996,1.9700000000000002,-0.134999999999998,-3.5511244885440583,4.91,0.33999999999999986,0
HBL,2080/2081,2023/2024,12.04,4.91,83.37,6.86,9.08,3.99,7.407919818615624,1.126375982110273,4.57,13.23,84.7,0.33999999999999986,-1.1900000000000013,1.5550000000000002,-0.5300000000000011,-3.2055426431843737,7.28,2.37,1
HBL,2081/2082,2024/2025,11.64,7.28,81.35,4.84,6.63,3.29,3.9892652582622166,0.0599043431128662,4.91,12.04,83.37,2.37,-0.3999999999999986,4.715,-1.504999999999999,-6.906937059347413,7.39,0.10999999999999943,0
HBL,2082/2083,2025/2026,12.29,7.39,76.15,4.26,6.08,3.34,1.7523512023595356,-0.052522718857552636,7.28,11.64,81.35,0.10999999999999943,0.6499999999999986,2.9799999999999995,-0.4750000000000014,-0.9547490307114816,,,
NABIL,2072/2073,2015/2016,,,,,,,22.923190975543868,,,,,,,,,4.541442898728221,,,
